page_id,is_success,count,category_count,error_count,alert_count,contrast_count,error_alt_missing,error_alt_link_missing,error_alt_spacer_missing,error_label_missing,error_link_empty,error_aria_reference_broken,alert_alt_duplicate,alert_label_orphaned,alert_link_internal_broken,alert_link_suspicious,alert_link_redundant,alert_noscript,alert_tabindex,alert_text_small,alert_title_redundant,contrast_contrast,error_button_empty,error_link_skip_broken,alert_alt_suspicious,alert_heading_skipped,alert_link_pdf,alert_youtube_video,error_alt_input_missing,error_aria_menu_broken,alert_legend_missing,alert_event_handler,alert_alt_long,error_label_empty,alert_heading_possible,alert_link_excel,alert_alt_redundant,alert_table_layout,alert_h1_missing,alert_underline,error_label_multiple,error_heading_empty,alert_label_title,alert_audio_video,alert_select_missing_label,alert_html5_video_audio,alert_fieldset_missing,alert_heading_missing,alert_region_missing,error_th_empty,alert_image_title,alert_link_powerpoint,error_language_missing,alert_text_justified,alert_javascript_jumpmenu,alert_accesskey,alert_link_word,alert_list_possible,alert_flash,error_meta_refresh,alert_plugin,error_title_invalid,error_alt_map_missing,alert_link_document,error_alt_area_missing,alert_longdesc,alert_table_caption_possible,error_marquee,error_longdesc_invalid
47_home,True,58,13,1,55,2,,,,,,,1.0,,,1.0,26.0,1.0,,6.0,5.0,2.0,1.0,,,4.0,1.0,,,,,,6.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50_home,True,42,12,1,41,0,,,,,,,1.0,,1.0,1.0,10.0,1.0,,6.0,5.0,,1.0,,1.0,9.0,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
52_home,True,6,1,0,6,0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54_home,True,7,4,0,7,0,,,,,,,,,,,1.0,,,,,,,,2.0,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
57_home,True,7,2,0,7,0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58_home,True,85,13,4,77,4,1.0,,,,1.0,,,,1.0,,30.0,1.0,,6.0,9.0,4.0,1.0,1.0,1.0,1.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59_home,True,274,17,29,222,23,10.0,13.0,,,2.0,,1.0,1.0,,1.0,22.0,,,142.0,45.0,23.0,4.0,,,5.0,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60_home,True,110,11,20,67,23,,,,1.0,18.0,,,,,,56.0,2.0,,2.0,,23.0,,,,2.0,1.0,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63_home,True,6,1,0,6,0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70_home,True,34,12,1,33,0,,,,,,,,,1.0,1.0,6.0,1.0,,6.0,5.0,,1.0,,1.0,5.0,,,,,,,1.0,,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
71_home,True,119,14,15,100,4,1.0,,2.0,,10.0,,,11.0,1.0,,7.0,3.0,11.0,2.0,63.0,4.0,,,,1.0,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
72_home,True,6,1,0,6,0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74_home,True,60,13,1,57,2,,,,,,,1.0,,,1.0,26.0,1.0,,6.0,5.0,2.0,1.0,,,4.0,1.0,,,,,,8.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75_home,True,6,2,0,6,0,,,,,,,,,,,,5.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76_home,True,45,10,5,40,0,,,2.0,,,,,,,,3.0,3.0,,14.0,6.0,,1.0,,,,,,,,,,,,,,,7.0,,,,2.0,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
77_home,True,49,14,2,45,2,,1.0,,,,,1.0,,,1.0,22.0,1.0,,6.0,5.0,2.0,1.0,,,3.0,1.0,,,,,,1.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78_home,True,338,11,20,197,121,,,,1.0,18.0,,,,,,186.0,2.0,,2.0,,121.0,,,,2.0,1.0,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80_home,True,48,15,1,47,0,,,,,,,1.0,,1.0,1.0,10.0,1.0,,6.0,5.0,,1.0,,1.0,9.0,,1.0,,,,,1.0,,,,,,,,,,2.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,
81_home,True,10,3,0,10,0,,,,,,,,,,,,7.0,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_home,True,8,2,0,8,0,,,,,,,,,,,,7.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83_home,True,55,13,1,52,2,,,,,,,1.0,,,1.0,26.0,1.0,,6.0,5.0,2.0,1.0,,,4.0,1.0,,,,,,2.0,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85_home,True,4,2,0,4,0,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86_home,True,32,12,1,31,0,,,,,,,,,1.0,1.0,6.0,1.0,,6.0,5.0,,1.0,,1.0,5.0,,,,,,,1.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
89_home,True,12,6,0,11,1,,,,,,,,,,2.0,4.0,3.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
90_home,True,252,11,20,149,83,,,,1.0,18.0,,,,,,138.0,2.0,,2.0,,83.0,,,,2.0,1.0,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91_home,True,7,2,0,7,0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92_home,True,61,13,1,58,2,,,,,,,1.0,,,1.0,26.0,1.0,,6.0,5.0,2.0,1.0,,,4.0,1.0,,,,,,8.0,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
