id,source_id
28535,sjr_21101081608
28538,sjr_26000
28539,sjr_19900191736
28543,sjr_21100406867
28544,sjr_21100886825
28545,sjr_30078
28547,sjr_21195
28550,sjr_21101060182
28551,sjr_19837
28552,sjr_20228
28554,sjr_19908
28558,sjr_20695
28560,sjr_13477
28562,sjr_14992
28563,sjr_15402
28568,sjr_28475
28571,sjr_26656
28573,sjr_19300156817
28574,sjr_21101027216
28576,sjr_29183
28577,sjr_19409
28578,sjr_28181
28581,sjr_20205
28582,sjr_21100409368
28584,sjr_21100405117
28585,sjr_19366
28586,sjr_21100879846
28589,sjr_22321
28591,sjr_21100782975
28594,sjr_20485
28597,sjr_17945
28598,sjr_14802
28600,sjr_28273
28602,sjr_13037
28604,sjr_12006
28607,sjr_11300153408
28609,sjr_21101037196
28610,sjr_21100198522
28611,sjr_21100405003
28612,sjr_25424
28613,sjr_21100369815
28615,sjr_29761
28619,sjr_21100200203
28620,sjr_26203
28629,sjr_16733
28633,sjr_89440
28634,sjr_14105
28635,sjr_51748
28636,sjr_28770
28637,sjr_9500154109
28638,sjr_15756
28640,sjr_5700191210
28641,sjr_21100779064
28643,sjr_13468
28644,sjr_17378
28646,sjr_15375
28647,sjr_21101047720
28648,sjr_13900154713
28652,sjr_11300153721
28653,sjr_21103
28658,sjr_21100232818
28659,sjr_14750
28661,sjr_21100224448
28662,sjr_15537
28663,sjr_18300156710
28664,sjr_21100217611
28665,sjr_25472
28669,sjr_13467
28670,sjr_22466
28671,sjr_11400153331
28672,sjr_27822
28673,sjr_29916
28675,sjr_20443
28676,sjr_16592
28678,sjr_21100264005
28680,sjr_21100228537
28683,sjr_23741
28685,sjr_146223
28687,sjr_19907
28688,sjr_20618
28689,sjr_22191
28691,sjr_18391
28692,sjr_21100854881
28694,sjr_21100818712
28695,sjr_28785
28696,sjr_20185
28698,sjr_14913
28700,sjr_130165
28701,sjr_21100831450
28704,sjr_73008
28706,sjr_16146
28707,sjr_28200
28710,sjr_21684
28711,sjr_14875
28714,sjr_13363
28715,sjr_18797
28716,sjr_18476
28718,sjr_16442
28723,sjr_21100866005
28727,sjr_24025
28729,sjr_80280
28732,sjr_21359
28734,sjr_19700174935
28735,sjr_13502
28738,sjr_21101094482
28741,sjr_19561
28742,sjr_14704
28743,sjr_29993
28745,sjr_25487
28749,sjr_5100155099
28750,sjr_15461
28751,sjr_21100788288
28753,sjr_17421
28756,sjr_20356
28757,sjr_21100244230
28759,sjr_21100200831
28761,sjr_22861
28767,sjr_12100156717
28768,sjr_17407
28769,sjr_19700175861
28770,sjr_18045
28772,sjr_19082
28773,sjr_14364
28774,sjr_21100904922
28775,sjr_130156
28777,sjr_21268
28778,sjr_11700154306
28782,sjr_4400151514
28783,sjr_19700174932
28785,sjr_22597
28786,sjr_21100398001
28787,sjr_13487
28789,sjr_28645
28790,sjr_21100256102
28792,sjr_4900152301
28796,sjr_21100415950
28797,sjr_25954
28801,sjr_20689
28802,sjr_24006
28806,sjr_21100456838
28808,sjr_15991
28810,sjr_19700166401
28811,sjr_17952
28816,sjr_14274
28820,sjr_22475
28821,sjr_15849
28823,sjr_21101061414
28824,sjr_15422
28825,sjr_21100242403
28826,sjr_20700195026
28827,sjr_15392
28829,sjr_17399
28832,sjr_17495
28833,sjr_12808
28834,sjr_15011
28843,sjr_19684
28848,sjr_4000151809
28849,sjr_21858
28853,sjr_22570
28855,sjr_28089
28858,sjr_29282
28859,sjr_19799
28862,sjr_21410
28864,sjr_15423
28866,sjr_14531
28868,sjr_12841
28869,sjr_18742
28870,sjr_19419
28871,sjr_21100248838
28874,sjr_14438
28875,sjr_7100153107
28876,sjr_19065
28879,sjr_21100386500
28883,sjr_22044
28884,sjr_18148
28885,sjr_17574
28889,sjr_21101023287
28890,sjr_23600
28891,sjr_50032
28896,sjr_21101055750
28898,sjr_27825
28899,sjr_24085
28900,sjr_13124
28901,sjr_17618
28902,sjr_13768
28906,sjr_17194
28907,sjr_29951
28910,sjr_28094
28911,sjr_16136
28915,sjr_15645
28916,sjr_28764
28918,sjr_19900193555
28920,sjr_13455
28922,sjr_21100367530
28923,sjr_20741
28926,sjr_4400151516
28927,sjr_19353
28928,sjr_22440
28930,sjr_18017
28931,sjr_20913
28934,sjr_21100207003
28935,sjr_21100853949
28936,sjr_21101007461
28937,sjr_21100898934
28938,sjr_15686
28941,sjr_25545
28943,sjr_20276
28944,sjr_12772
28945,sjr_13903
28949,sjr_19700177557
28950,sjr_4000151808
28951,sjr_25441
28953,sjr_15871
28957,sjr_16764
28958,sjr_21100228531
28962,sjr_11600154504
28963,sjr_24718
28966,sjr_21100823143
28969,sjr_21100202730
28972,sjr_17148
28975,sjr_13096
28976,sjr_19900192160
28977,sjr_3900148209
28978,sjr_18429
28984,sjr_29561
28985,sjr_12523
28987,sjr_19017
28992,sjr_21101072502
28993,sjr_26746
28995,sjr_21100241659
28998,sjr_19700166402
29002,sjr_7600153101
29004,sjr_21100943285
29006,sjr_21100820001
29008,sjr_26371
29011,sjr_19700188403
29015,sjr_12029
29018,sjr_13357
29019,sjr_22080
29020,sjr_19400156815
29021,sjr_29873
29023,sjr_23246
29024,sjr_21100205761
29025,sjr_24267
29027,sjr_21100924827
29028,sjr_21003
29029,sjr_28632
29031,sjr_19400158483
29032,sjr_21100981277
29035,sjr_19064
29040,sjr_12811
29041,sjr_19700175052
29044,sjr_23845
29046,sjr_28707
29050,sjr_24804
29056,sjr_21100867475
29057,sjr_21100941105
29058,sjr_12549
29060,sjr_19040
29061,sjr_21100873339
29062,sjr_19669
29064,sjr_15437
29065,sjr_30022
29067,sjr_19700201211
29068,sjr_15439
29069,sjr_11700154204
29070,sjr_27063
29071,sjr_19700171101
29072,sjr_24745
29073,sjr_15357
29074,sjr_21100218328
29077,sjr_21101041899
29079,sjr_16615
29081,sjr_38020
29083,sjr_17956
29085,sjr_30074
29086,sjr_21100204914
29087,sjr_14360
29089,sjr_16795
29092,sjr_22414
29095,sjr_21270
29097,sjr_21100241208
29100,sjr_19900191866
29101,sjr_17244
29103,sjr_21101065916
29104,sjr_21100869015
29106,sjr_21100206244
29107,sjr_21100203113
29108,sjr_14151
29109,sjr_18729
29110,sjr_21100982311
29111,sjr_24456
29113,sjr_21100237606
29114,sjr_26111
29118,sjr_21100372442
29120,sjr_19700171308
29122,sjr_21101019738
29127,sjr_5200152632
29128,sjr_29794
29130,sjr_16612
29131,sjr_12776
29132,sjr_19900191716
29136,sjr_21100274406
29139,sjr_21100225611
29140,sjr_21100368207
29141,sjr_17500155105
29144,sjr_23916
29145,sjr_21100235802
29146,sjr_17219
29147,sjr_18059
29148,sjr_18200156707
29149,sjr_20996
29150,sjr_28787
29156,sjr_15896
29157,sjr_22478
29158,sjr_15269
29164,sjr_16676
29166,sjr_21239
29167,sjr_21100852132
29169,sjr_19900192509
29170,sjr_21100856573
29171,sjr_17191
29172,sjr_29160
29176,sjr_13602
29177,sjr_14166
29179,sjr_14014
29183,sjr_21100398887
29184,sjr_21100246515
29187,sjr_21933
29188,sjr_16448
29189,sjr_69623
29190,sjr_18002
29191,sjr_24246
29192,sjr_17822
29193,sjr_29602
29201,sjr_27085
29203,sjr_21100322090
29204,sjr_13093
29206,sjr_30017
29207,sjr_21100196101
29209,sjr_14344
29211,sjr_16055
29212,sjr_17222
29214,sjr_15579
29215,sjr_28514
29217,sjr_21100200437
29220,sjr_25527
29221,sjr_28350
29222,sjr_25295
29224,sjr_15470
29225,sjr_19700188393
29229,sjr_21100455629
29230,sjr_21100294621
29231,sjr_26890
29236,sjr_17230
29238,sjr_15370
29239,sjr_25680
29240,sjr_13041
29243,sjr_12191
29244,sjr_21732
29248,sjr_21100779230
29250,sjr_15478
29251,sjr_22488
29252,sjr_21100229161
29253,sjr_28534
29255,sjr_20084
29257,sjr_18014
29261,sjr_21100224437
29262,sjr_19700173006
29263,sjr_21100269013
29264,sjr_22340
29266,sjr_19700201513
29267,sjr_15222
29268,sjr_22380
29269,sjr_22421
29270,sjr_21100255413
29271,sjr_12100154407
29273,sjr_21100445639
29275,sjr_12198
