page_id,id,page_type,url,error_alt_area_missing,error_alt_input_missing,error_alt_link_missing,error_alt_map_missing,error_alt_missing,error_alt_spacer_missing,error_aria_menu_broken,error_aria_reference_broken,error_blink,error_button_empty,error_heading_empty,error_label_empty,error_label_missing,error_label_multiple,error_language_missing,error_link_empty,error_link_skip_broken,error_marquee,error_meta_refresh,error_th_empty,error_title_invalid
120_article_search_result,120,article_search_result,https://www.cell.com/action/doSearch?type=quicksearch&text1=data&field1=AllField&journalCode=neuron&SeriesKey=neuron,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
120_latest_issue,120,latest_issue,https://www.cell.com/neuron/current,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
272_home,272,home,https://ashpublications.org/blood,0.0,0.0,19.0,0.0,19.0,19.0,0.0,0.0,0.0,1.0,11.0,3.0,3.0,3.0,-1.0,141.0,141.0,-1.0,-1.0,0.0,-1.0
272_research_article,272,research_article,https://ashpublications.org/blood/article/138/9/818/476679/Nonleukemic-T-B-mixed-phenotype-acute-leukemia?searchresult=1,0.0,0.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0,9.0,8.0,16.0,11.0,16.0,-1.0,190.0,190.0,-1.0,-1.0,0.0,-1.0
272_none_research_article,272,none_research_article,https://ashpublications.org/blood/article-abstract/142/14/1185/497190/Prevalence-and-significance-of-DDX41-gene-variants?redirectedFrom=fulltext,0.0,0.0,16.0,0.0,16.0,16.0,0.0,0.0,0.0,9.0,13.0,16.0,11.0,16.0,-1.0,350.0,350.0,-1.0,-1.0,0.0,-1.0
272_article_search_result,272,article_search_result,https://ashpublications.org/search-results?q=data&fl_SiteID=1&page=1&qb={%22q%22:%22data%22},0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,16.0,25.0,3.0,110.0,110.0,-1.0,436.0,436.0,-1.0,-1.0,0.0,-1.0
272_latest_issue,272,latest_issue,https://ashpublications.org/blood/issue/142/21,,,,,,,,,,,,,,,,,,,,,
8_home,8,home,https://www.nature.com/nbt/,0.0,0.0,32.0,0.0,32.0,32.0,0.0,0.0,0.0,5.0,64.0,4.0,4.0,4.0,-1.0,137.0,137.0,-1.0,-1.0,0.0,-1.0
8_research_article,8,research_article,https://www.nature.com/articles/s41587-023-01988-1,0.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,11.0,112.0,4.0,4.0,4.0,-1.0,819.0,819.0,-1.0,-1.0,0.0,-1.0
8_none_research_article,8,none_research_article,https://www.nature.com/articles/d41587-023-00016-6,0.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,8.0,24.0,6.0,6.0,6.0,-1.0,113.0,113.0,-1.0,-1.0,0.0,-1.0
