category,page_id,page_type,issue,violations,passes,total_checks,failure_rate
hubmap,hubmap11,donor,bypass,0,1,1,0
hubmap,hubmap11,donor,color-contrast,0,88,88,0
hubmap,hubmap11,donor,document-title,0,1,1,0
hubmap,hubmap11,donor,empty-heading,0,21,21,0
hubmap,hubmap11,donor,empty-table-header,0,7,7,0
hubmap,hubmap11,donor,landmark-banner-is-top-level,0,1,1,0
hubmap,hubmap11,donor,landmark-no-duplicate-banner,0,1,1,0
hubmap,hubmap11,donor,landmark-unique,0,2,2,0
hubmap,hubmap11,donor,link-name,0,61,61,0
hubmap,hubmap11,donor,list,0,1,1,0
hubmap,hubmap11,donor,listitem,0,6,6,0
hubmap,hubmap11,donor,meta-viewport-large,0,1,1,0
hubmap,hubmap11,donor,meta-viewport,0,1,1,0
hubmap,hubmap11,donor,nested-interactive,0,18,18,0
hubmap,hubmap11,donor,page-has-heading-one,0,1,1,0
hubmap,hubmap11,donor,scope-attr-valid,0,7,7,0
hubmap,hubmap11,donor,tabindex,0,12,12,0
hubmap,hubmap11,donor,table-duplicate-name,0,2,2,0
hubmap,hubmap11,donor,td-headers-attr,0,2,2,0
hubmap,hubmap11,donor,th-has-data-cells,0,2,2,0
category,page_id,page_type,issue,violations,passes,total_checks,failure_rate
hubmap,hubmap12,donor,button-name,1,9,10,0.1
hubmap,hubmap12,donor,heading-order,2,21,23,0.08695652173913043
hubmap,hubmap12,donor,html-has-lang,1,0,1,1
hubmap,hubmap12,donor,landmark-one-main,1,0,1,1
hubmap,hubmap12,donor,region,40,260,300,0.13333333333333333
hubmap,hubmap12,donor,scrollable-region-focusable,1,0,1,1
hubmap,hubmap12,donor,aria-allowed-attr,0,15,15,0
hubmap,hubmap12,donor,aria-allowed-role,0,10,10,0
hubmap,hubmap12,donor,aria-conditional-attr,0,15,15,0
hubmap,hubmap12,donor,aria-deprecated-role,0,9,9,0
hubmap,hubmap12,donor,aria-hidden-body,0,1,1,0
hubmap,hubmap12,donor,aria-hidden-focus,0,39,39,0
